epoch,loss,val_loss

0,46.905868284867964,32.65696462650889

1,32.486543332936385,32.30602432376289

2,32.24737998696505,32.15697358834792

3,31.150219542983212,28.833112451385706

4,27.53917975658339,26.538766489357208

5,24.33702473811834,21.54515764768695

6,20.84578654199322,18.487168171429538

7,18.340899384583523,16.462594469048106

8,16.038970531717357,13.848578627201595

9,13.910541664123869,12.002664077788118

10,12.10610280497374,10.155728556029596

11,10.394600965458476,8.523675523811592

12,9.140560937676465,7.584249864773548

13,8.093517152524939,7.102760273823263

14,7.351975424193803,6.267847423138536

15,6.689712205703494,5.876121130727834

16,6.130602847344335,5.338539617202842

17,5.680754810294434,5.336610494617314

18,5.314798512593957,5.191506828771028

19,4.922024943044822,4.7542955383395435

20,4.621691386226005,4.408977179891389

21,4.402193850511317,4.006954618023551

22,4.139574601654716,3.863955276299456

23,3.8883829857317305,3.7596438427019763

24,3.7409507233841315,3.527967833606134

25,3.524066990976558,3.4234373892559655

26,3.3890700495263375,3.383268266234097

27,3.2271105899463843,3.3224264517668636

28,3.1157138960566715,3.243920586147905

29,2.957932115829829,3.236168121366719

30,2.8428087789699874,3.115891812357185

31,2.7133398575491636,3.409045695217052

32,2.677571269928766,2.8311696483833524

33,3.3050549169755445,3.036695592025975

34,2.824762194759123,2.9090915971362215

35,2.6698393149891757,2.6892488486134005

36,2.4661680888561106,2.885647336128144

37,2.3560486127649556,2.6267508658083005

38,2.308025378069253,2.5666109006471114

39,2.133890621997011,2.7239659335382873

40,2.0708824818106297,2.5138678688926337

41,2.065827490151353,2.4297065966803775

42,1.9513383674252973,2.4765052224932362

43,1.8378740210910496,2.2934047899399523

44,1.7895021740799935,2.4902961294009054

45,1.7756205815990278,2.4160856665191

46,1.6701833924458642,2.2531909911173864

47,1.6007137608933188,2.4504576392072117

48,1.5988469371336145,2.407557768581548

49,1.568299426757108,2.2446189713648894

50,1.4843586199423233,2.1662827616343647

51,1.4137848945115807,2.1258406351594976

52,1.3817848932023558,2.296479824496257

53,1.3502222254215674,2.111313693817733

54,1.3171845726408844,2.188730581014406

55,1.2723964113297461,2.2453388438480166

56,1.2225034157342254,2.207463052318414

57,1.1895427916666075,2.133892151732639

58,1.177130306076055,2.2298034752777527

59,1.3447117545880434,2.0884112194245583

60,1.2084956906630795,2.159691749487893

61,1.088428221688852,2.021010224789605

62,1.0546436033774949,2.2007629995045703

63,1.1160294468903347,2.472853406698746

64,1.1713404046075389,1.9614912615608924

65,0.9686062480144253,1.9625096182691537

66,0.9783092972172469,2.0985965734227605

67,0.915948197696596,2.0381987858605974

68,0.9274870601738572,2.0861129795632203

69,0.9738917117401904,2.1891894709099513
